ACCT_ID,TRANSACTION_TIMESTAMP,TRANSACTION_VALUE,SKU
2087924772853574869,10/19/15 1:52 AM,1.99,64689
4583395931751585049,10/18/15 11:40 PM,4.19024,67818
2645885354296576295,10/28/15 4:47 AM,1.99,74635
2045084804271229988,10/31/15 10:53 PM,19.99,74091
1546924287939313211,11/3/15 7:21 PM,19.99,58978
1654863045611466077,11/4/15 3:06 AM,38.03539,35590
3211411881790625901,11/5/15 2:09 AM,3.49,73123
1787220675767091638,11/6/15 6:48 PM,59.99,76876
3776817504528891089,11/8/15 12:08 AM,24.99,75964
1729586651373772557,11/15/15 4:36 PM,49.99,35590
1080333058415902769,10/25/15 4:38 AM,29.99,76537
730942948179544225,10/20/15 8:51 PM,49.99,35590
4206458146493548853,10/24/15 3:17 AM,19.99,74599
3674488604446917051,10/28/15 10:44 PM,4.99,75961
882628352572464401,10/30/15 5:56 PM,49.99,35590
2698367886622266228,11/2/15 3:01 AM,9.99,72261
2812008031984894663,11/14/15 9:23 PM,59.99,74086
879650667035358109,10/29/15 1:24 PM,9.99,38140
3936929710070026656,10/31/15 6:26 PM,0.99,60433
1582592561004565934,11/4/15 12:23 AM,4.99,73336
786119227562930524,11/15/15 2:21 AM,7.60099,70171
3655458582859965210,11/16/15 2:24 AM,59.99,76938
1869248059532343334,10/22/15 9:20 PM,6.70897,73122
684329033971586161,10/24/15 4:07 AM,14.99,75133
3368805190594843264,11/5/15 12:35 AM,59.99,71577
1727280792061671255,11/8/15 2:07 AM,19.99,61885
3352119616960129020,11/8/15 9:21 PM,59.99,71577
256314356014088304,10/18/15 1:32 AM,4.99,74047
3151247272237412839,10/20/15 2:23 AM,9.99,72261
2434746914308821001,10/21/15 11:58 PM,6.70897,73122
3721263664211133933,10/25/15 5:00 AM,17.99,35589
4249464563019776800,10/24/15 11:30 AM,17.99,35589
1758504687033739215,10/25/15 11:11 PM,1.99,49390
3513419962988053764,10/30/15 12:44 PM,1.99,1423
1998026881444617800,11/1/15 3:44 AM,13.99,62236
238161999215944807,11/3/15 1:24 AM,0.99,9717
3231594681510495096,11/6/15 1:44 AM,59.99,67036
485111489570103018,11/6/15 4:45 PM,9.99,74089
652531284056408452,11/7/15 5:21 AM,87.49129,76876
1262067182013927446,11/9/15 11:01 PM,1.99,792
4231065442679368110,11/12/15 8:50 PM,1.49,76923
775129196607590479,10/18/15 5:13 PM,1.99,74473
484342413186258971,10/24/15 7:37 PM,37.30604,63867
1395549966134946573,10/19/15 5:55 AM,4.99,74652
32328527818877631,10/21/15 1:03 PM,7.45524,75799
4570943670202609851,10/23/15 9:33 PM,59.99,69139
2532174946757926704,10/26/15 2:37 AM,9.99,35514
3676383764556163820,10/29/15 4:45 AM,13.99,62236
3825138595386805893,10/29/15 3:48 PM,19.99,74475
3352012399256641283,11/3/15 3:42 AM,2.99,73948
2117162596653095041,11/4/15 9:42 PM,99.99,67038
2981586558077079465,11/10/15 7:19 AM,49.99,35590
3550893108256448312,11/10/15 11:36 PM,29.99,72093
3080311719764512756,10/21/15 2:24 PM,2.25,2605
785914053456290868,10/25/15 12:31 PM,59.99,76539
4283103402604207492,10/25/15 2:16 PM,59.99,66454
3450548933156726271,10/26/15 11:30 PM,1.99,45960
1928600095192066611,10/27/15 5:40 AM,9.99,75961
592845739444031937,10/30/15 6:50 AM,39.99,69135
772195917436796416,11/1/15 2:31 AM,1.99,68929
3078475390644925108,10/31/15 7:06 PM,39.99,67440
2241131496317217991,11/1/15 3:10 PM,19.99,61885
2540292325270610872,11/3/15 3:45 PM,14.99,69141
3301471661910826837,11/4/15 9:25 PM,1.99,67440
1596505782792458729,11/5/15 5:53 PM,76.99,76782
152326896083514405,11/11/15 2:08 AM,14.99,43597
2177407893489058415,11/10/15 10:50 PM,5.99,76914
2328039558299015685,10/22/15 10:28 PM,1.99,76497
4584356132096400284,10/23/15 1:13 PM,4.99,58981
1172451281275251363,10/28/15 9:27 PM,19.99,75960
3334313518347067421,11/5/15 12:42 AM,3.41626,73123
2849556556024420441,11/8/15 12:30 AM,19.99,61885
1632591437402875657,11/14/15 3:12 AM,4.99,76819
365873172337312965,11/15/15 9:41 AM,17.99,35589
4257214234132961707,10/20/15 8:34 PM,2.99,76483
204351906911599879,10/23/15 12:13 AM,8.99,74088
4504185074117525222,10/24/15 6:02 AM,1.49,57537
1434520731176416882,10/24/15 5:14 PM,19.99,74091
1199194833087376000,10/25/15 3:17 PM,9.99,74475
705123870585982722,10/21/15 2:48 AM,52.23144,76455
649703634910942961,10/22/15 6:08 PM,5.99,62580
2688433987639108880,10/23/15 3:40 PM,21.14,76486
2092762888329702451,11/6/15 2:47 AM,49.99,35590
677104467337400540,11/15/15 6:26 AM,1.99,76815
4072534992052509012,10/24/15 10:46 PM,1.99,75970
3036880101909597859,10/31/15 2:12 AM,3.35075,73123
3559652784339440256,11/3/15 12:20 AM,7.60099,35514
2793949851246527810,11/5/15 2:34 AM,1.99,76194
285650478406543084,11/6/15 6:33 AM,49.99,35590
1589181217372314007,11/7/15 2:11 AM,49.99,35590
859299568004633873,11/7/15 8:42 PM,19.99,74475
2157082583936463598,11/9/15 7:23 AM,4.99,74089
289833619947921883,11/10/15 7:33 PM,59.99,76938
555878278019811647,11/10/15 10:11 PM,1.99,74473
2170495973502638045,11/6/15 11:51 PM,99.99,76876
460586954416930550,11/7/15 4:51 AM,9.99,35514
3328452754209034537,11/8/15 5:28 PM,19.99,74475
165737667818619163,11/10/15 10:25 PM,0.49,76921
2986785654886105777,11/13/15 2:17 AM,4.99,74475
318730384600905893,10/18/15 1:35 AM,1.99,447
4560217882742662033,11/3/15 3:41 AM,3.99,75963
4549753320705728477,11/5/15 12:53 AM,4.99,74475
1571769164277682555,11/6/15 5:21 PM,59.99,76539
3610476727654550929,11/6/15 11:45 PM,9.99,74475
4521709453326874250,11/7/15 10:17 PM,59.99,71577
3831882179474574416,11/9/15 12:46 AM,59.99,76876
2295765366606140780,11/11/15 5:10 AM,49.99,35590
286640964119045545,10/18/15 10:12 AM,49.99,49945
4013379404843387586,10/18/15 4:03 PM,7.49,74089
3492678139224812058,10/22/15 12:15 AM,6.70897,73122
1595795348106707058,10/24/15 4:00 PM,9.99,76455
181334341614824394,10/25/15 1:56 PM,2.61195,54520
2401879468501930721,10/24/15 4:24 AM,12.99,50985
3432510955091794925,10/27/15 12:30 AM,9.99,75961
482869670868416923,10/31/15 12:35 PM,56.72243,76741
2028682350810145127,11/3/15 12:23 AM,11.40529,76602
526212056527490121,11/5/15 5:31 AM,26.99,49464
2242657511485305170,11/7/15 2:58 PM,19.99,40564
521412204608593157,11/8/15 7:31 AM,24.99,63868
3711661843239293824,11/8/15 9:35 PM,19.99,40564
2248889881125723387,11/10/15 1:17 PM,99.99,76876
926787821101660668,10/21/15 12:30 AM,9.99,35514
2209719569479200062,10/26/15 9:34 PM,1.99,64272
3644896974284062244,10/24/15 3:59 AM,5.99,56461
3167385200991375670,10/26/15 11:14 PM,14.99,44136
398549147183755181,10/26/15 11:44 PM,1.99,71923
1522755187296636891,10/29/15 9:19 PM,49.99,74089
1900410498728622160,10/30/15 3:48 AM,9.99,73125
286498637021189539,11/2/15 1:31 AM,39.99,68190
635428853739997783,11/3/15 6:31 AM,19.77475,74091
255969035519532747,11/3/15 8:26 PM,7.99,36540
1115121710881625858,11/6/15 11:39 PM,59.99,76876
1734659345817133616,11/7/15 12:55 AM,19.99,57406
1425290651295086606,11/8/15 10:38 PM,15.20959,62884
3792855039766388736,11/10/15 12:09 AM,59.99,71577
2626816628516032617,11/12/15 5:42 AM,3.99,76819
1618172821794860818,11/14/15 9:34 PM,1.99,30265
384740521754838196,11/16/15 1:39 AM,14.99,55239
2436274072284245797,10/20/15 1:21 AM,4.99,72261
2861812450771293530,10/26/15 5:46 AM,4.99,64969
2980398230190868063,10/26/15 7:36 PM,9.99,74475
844910871351367892,10/21/15 8:38 PM,1.99,493
1746412963770291921,10/22/15 5:22 AM,2.99,76518
4318703204179167925,10/24/15 4:46 PM,99.99,67038
4320647203049888271,10/25/15 3:39 AM,23.99,65994
3140568603282787815,10/26/15 10:54 PM,9.99,75961
1493504744604668461,11/1/15 8:38 AM,1.51411,10668
1559574559925800799,11/4/15 5:20 AM,0.99,73285
957629227543885511,11/7/15 12:10 AM,59.99,76876
3351548389264043713,11/10/15 1:11 PM,59.99,76938
880751548628302064,10/18/15 6:39 AM,1.99,27138
3436491634567713025,10/19/15 5:24 PM,4.99,75028
1256930896667391018,10/20/15 2:02 AM,1.99,67440
3370756294168858606,10/25/15 2:00 AM,14.99,69141
207643936756218025,10/26/15 3:31 AM,29.99,72255
3965495910693406949,10/26/15 3:05 AM,19.99,58978
26423517663441346,10/30/15 5:00 PM,3.35075,73123
90924262244343518,10/30/15 8:10 PM,9.99,65049
2265156837292836165,10/31/15 11:56 PM,1.49,72259
2724635446828305236,11/3/15 2:06 AM,13.99,57964
2758763733748030449,11/4/15 10:21 PM,99.99,67038
39918886496838734,11/6/15 10:55 PM,0.647,60438
2327870811269888231,11/7/15 7:33 AM,0.49,67209
3536033259266325681,11/14/15 7:25 PM,119.99,75795
377196948774712885,11/15/15 7:41 AM,4.99,74089
4109729903762051283,10/24/15 10:48 PM,17.99,35589
4329933699739378583,10/28/15 2:05 AM,20.4,56989
2157996331684647196,10/30/15 6:03 PM,17.99,35589
3619850244749743407,11/5/15 12:47 PM,1.2966,75106
4286650666778946216,11/12/15 2:45 AM,3.99,74955
1863953527843598956,11/12/15 8:07 AM,17.8726,74335
3600184506430382686,10/23/15 1:02 AM,49.99,74472
3916338619830551177,10/24/15 4:21 PM,1.48508,2536
1921233549431787362,10/23/15 4:04 PM,9.99,75799
3913971793667305009,10/24/15 9:00 PM,1.99,76497
285256481377440310,10/27/15 3:18 AM,1.99,49390
3505606715203027030,11/1/15 7:11 PM,9.99,65049
152252536096895878,11/5/15 5:07 AM,87.49129,67038
685561053423634720,11/8/15 12:07 AM,49.99,72261
21129276608696074,11/10/15 6:50 AM,9.99,65049
2190963785132298253,11/10/15 4:57 AM,59.99,76938
1718598495361013387,11/12/15 1:34 AM,19.99,74476
3506393356246706755,10/21/15 3:44 PM,9.99,67443
2742133754880231515,10/25/15 10:10 PM,1.05804,1573
4075590896946785075,10/24/15 4:42 AM,19.99,70590
2814751807062462218,11/2/15 10:47 PM,31.93434,74089
2921774523580379420,11/3/15 12:36 AM,9.99,35514
1572634847239323639,10/20/15 1:22 AM,4.99,75807
3802508876971546432,10/20/15 5:00 PM,14.99,24682
3022664328988451016,11/9/15 1:12 PM,19.99,75402
3965339744736579719,11/8/15 4:20 PM,3.3,66637
1072378066755576950,11/9/15 8:11 PM,59.99,71577
2330362924116572881,11/11/15 8:20 PM,19.99,61885
1353708709452849647,11/12/15 1:52 AM,9.99,76488
1452641731409378967,10/22/15 9:08 PM,1.5,7197
2618770812855074595,10/22/15 11:30 PM,9.99,35514
863877990920719120,10/24/15 8:44 PM,79.99,73426
54035247471834481,10/25/15 11:16 PM,39.99,69135
3986503065366652243,10/22/15 11:55 PM,2.99,75009
4529251658672152065,10/23/15 11:45 PM,17.99,35589
1543053978931880016,10/24/15 10:48 PM,17.99,35589
2060773685938394449,10/25/15 10:57 PM,14.99,73567
4444191694200948211,11/3/15 3:05 PM,99.99,56035
3690564979932658247,11/9/15 4:28 PM,14.99,11331
991767624764873232,11/9/15 9:04 PM,9.99,58978
2689175008938329501,11/12/15 12:14 AM,1.99,30411
2606765581062596812,10/23/15 10:52 PM,59.99,76539
4374952957685897282,10/25/15 11:31 PM,1.99,71338
3598706190046540545,10/27/15 1:06 PM,1.99,67440
4440206888321065306,11/3/15 12:36 AM,1.99,71746
1609110409419957329,11/3/15 5:13 PM,0.38716,15124
314438676904436928,11/6/15 12:44 AM,59.99,67036
1498886265858090679,10/18/15 4:23 PM,9.99,75960
281278898121403604,10/22/15 2:20 AM,17.99,35589
3249943731947325937,10/23/15 4:24 PM,9.99,72261
1693841465711300759,10/18/15 9:04 PM,59.99,74637
264971253507674571,10/21/15 11:57 AM,29.99,72094
4412394375846465835,11/8/15 3:12 PM,5.99,1621
2665986310390676717,11/11/15 2:33 AM,59.99,76876
1374281351858391169,11/12/15 10:30 AM,1.99,59641
2911160943401636509,11/14/15 8:00 PM,9.99,74475
36668507314951252,10/21/15 2:08 AM,1.99,68931
750808049635824961,10/24/15 8:20 PM,1.99,16656
1359998190759101071,10/27/15 8:21 PM,59.99,71577
3173594304922969948,10/31/15 11:59 PM,3.99,74644
181324569254699883,11/8/15 3:39 AM,19.99,76774
4110196628994335640,11/13/15 12:16 AM,19.99,72261
2181934688279457821,10/24/15 10:45 AM,9.99,74335
4353059310425229939,10/24/15 2:36 PM,1.85821,73123
2560078568980298145,10/28/15 1:31 AM,2.97762,72373
68387590595529760,10/30/15 5:35 AM,19.99,58978
3025544985776636124,10/30/15 5:24 PM,1.5,2944
959047534548084591,10/30/15 7:16 PM,49.99,74635
2991070279830626222,11/1/15 12:45 AM,14.99,70371
2651989845810571486,11/4/15 7:15 AM,38.03539,72259
4270305563353435164,11/4/15 10:59 PM,9.99,74335
3364327782075615294,11/12/15 4:06 PM,59.99,58894
2751798739187720008,11/16/15 5:10 AM,4.99,74475
2995386149700784389,11/16/15 5:21 AM,14.99,7192
1719173350817381556,10/18/15 6:06 PM,19.99,72261
4031483089514948823,10/18/15 12:07 AM,4.99,75807
4586444120997279042,10/22/15 7:10 AM,19.99,74475
1667775583272706903,10/25/15 6:43 PM,4.99,67818
1760868033262580931,10/29/15 1:36 AM,59.99,58894
2709063574748368069,10/30/15 3:59 AM,30,56989
844864956898803057,10/30/15 8:42 PM,9.99,67443
1428732985030887820,10/31/15 1:53 PM,3.99,31473
3133062269811408293,11/2/15 5:33 AM,9.99,72261
762935739965719102,11/6/15 7:40 AM,9.99,35514
2624852074810851882,11/7/15 9:01 AM,2.27497,75966
827627705093308501,11/14/15 9:52 AM,24.99,76585
3759434254169096583,11/15/15 11:17 AM,74.99,72259
47991436616337493,11/16/15 2:00 AM,9.99,74475
3554664511778732987,11/15/15 8:38 PM,59.73722,76938
2583350483546944091,10/18/15 11:54 PM,4.99,72261
3080993308733864922,10/21/15 3:45 AM,0.99,65598
142796710651182622,10/20/15 3:09 AM,17.99,35589
1209040913964557936,10/27/15 2:13 PM,4.99,76537
1199035543562109515,10/29/15 5:38 AM,9.99,38140
3400529493701105255,11/2/15 5:55 PM,9.99,6976
1125342379322732553,11/3/15 2:12 AM,2.27497,69096
1763909937919712183,11/4/15 5:52 AM,9.99,72268
2364840711958795689,11/6/15 5:20 AM,2.99,50275
4239885549534151579,11/8/15 10:37 PM,2.99,59661
2677940186289474706,10/24/15 8:35 PM,19.99,67435
2087692786537624364,10/27/15 1:35 PM,0.99,69349
282741819193102418,10/28/15 4:52 AM,19.99,75960
134894417016611571,10/30/15 4:11 AM,3.99,76539
1606727002411551022,11/1/15 1:40 AM,14.99,70167
1049230689368100733,11/5/15 12:41 AM,99.99,67038
